,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,uuKKK急急急,保密,551137287,4,猜测一波，兄弟们在康康预告片和第一期的内容，可以推断出画面已经用得差不多了，所以应该没第二期了。[委屈][委屈][委屈][委屈],1,1629193079
0,ken-da-ll,女,499857071,4,本期有妙[doge],1,1629193078
0,窥书,保密,1780896798,3,"给大家分享一个屏蔽公式，在关键字屏蔽中输入一下内容/【0-9】{1,2}【秒|分|分钟|时|小时|天|周|星期|月|年】/就可以屏蔽掉发自己寿命的弹幕了ps1:两边的斜杠也要带上ps2:斜杠后不能有空格ps3:斜杠要用英文格式ps4:选择“正则”再屏蔽（从一个热心网友那里复制来的，很有用）",1,1629193078
0,Bink9,男,505923848,3,省流助手：有妙[doge],1,1629193059
0,脐橙233,保密,431042230,4,省流助手：4：43妙啊[藏狐],1,1629193044
0,秃头老妖精,保密,398362625,4,宁夏人狂喜,1,1629193035
0,六个币妹有了,女,517517474,4,我帮大家三连了，大家尽管白嫖吧[tv_doge],1,1629193018
0,饼干恶霸L,女,448335398,3,好家伙直接变成野羊求生了[doge],1,1629193017
0,Olivia--Li,保密,502319832,4,《我在荒岛吃羊肉》,1,1629193015
0,一朵小玫瑰lucky,女,511958894,4,看到宁夏滩羊就想起来了山海情[笑哭],1,1629193013
0,纳米毫升,保密,486218899,4,在?求生哪[藏狐],1,1629192997
0,黏膜,男,8042946,5,羊肉不是膻味吗[喜极而泣],1,1629192996
0,楷子鹅,男,425431915,4,记 录 生 活 的 牧 羊 派[doge],1,1629192990
0,小-掰,保密,475252776,5,宁夏银川人，考虑来怀远夜市吗(´・ω・),1,1629193068
0,铃木a---,保密,662244364,3,羊看见了，帅小伙呢？[doge],1,1629193061
0,天照天天,男,50534219,5,美味的滩羊[热词系列_真香][热词系列_真香][热词系列_真香],1,1629193060
0,小透子summer,保密,672549913,2,看鞋应该是之前的视频,1,1629193052
0,vmkk,保密,311696904,3,我想起来了，这是我们那年的中考题,1,1629193044
0,nice啊沐若,保密,283630319,4,？你这羊肉保熟吗[热词系列_锤],1,1629193043
0,陈子鱼同学,女,447505779,3,请问是荒岛呆不下去了吗[doge],1,1629193019
0,IAM李小花,保密,650479329,3,不懂就问标题不是有帅小伙吗？在哪儿呢？[tv_doge],1,1629193014
0,Olivia--Li,保密,502319832,4,5min？？这么多赞这就离谱,1,1629193003
0,28000水,男,1268415055,2,可恶，你们这些人竟然不看完，再评论[酸了]哦～我也没那没事了[脱单doge]展开,1,1629192994
0,祭-酒榎乆,女,421386494,4,说！你是不是以为荒野求生更新！[doge],1,1629192991
0,-大壮壮壮,女,671592527,2,《绵羊料理》,1,1629192978
0,唯我文乃酱,男,35873696,5,省流:有妙 无帅小伙,1,1629192986
0,虾伞流,男,1895151956,2,以前你们说蛋黄派视频下shi，我试了一下，然后厕所堵了[doge],1,1629192965
0,靓仔遵命,男,494339114,4,今天的视频我请了，大家就不用投币了[OK],1,1629192956
0,Rosery_,男,440763652,4,为啥没带派嫂[doge],1,1629192956
0,RagingJazz,男,397839132,4,所以说帅小伙丢下另外两个帅小伙跑路了？[热词系列_饮茶先啦],1,1629192945
0,己经不剩一发还没w时,保密,286610488,5,兄弟们来分析一下，前半段是荒野求生之前拍的视频。后半段是求生回来后拍的。由此得出这是来自时间跨越的素材所集结出来的视频。[热词系列_妙啊],1,1629192939
0,河悠呀,女,593595237,2,求生呢？[doge],1,1629192917
0,偏爱_玖,保密,422530054,3,热乎,1,1629192914
0,FLDaDa,男,349838913,5,忙里偷闲？[doge],1,1629192911
0,荔枝奶_,保密,174374651,5,指路:4:44,1,1629192904
0,谪仙古零,保密,399736949,4,不舍得吃-----太香啦～[doge],1,1629192902
0,你家铁柱,保密,558850163,3,4:43[脱单doge],1,1629192984
0,玛丽好苏,女,372660086,4,下次一定，不用谢[OK],1,1629192979
0,捉浮云,男,27971803,5,喵哇哦[妙啊][妙啊][妙啊],1,1629192975
0,奎君来啦,保密,661047076,3,本期有妙无派嫂[OK],1,1629192918
0,又是这个B,保密,96916574,5,宁夏滩羊花7小时去吃正宗帅小伙肉，果然名不虚传（,1,1629192914
0,没克密,女,470229273,3,荒岛求生什么时候更新[脱单doge],1,1629192895
0,委屈到变形的锦睿,男,291318718,5,你大会员过期了[doge],1,1629192884
0,奇怪的二级号又增加了,保密,479284518,3,不懂就问 封面左边是帅小伙吗,1,1629192883
0,かぐや辉夜_,保密,348413474,5,你大会员没了[藏狐],1,1629192880
0,爬山的喵,保密,385441661,4,黑小伙[藏狐][妙啊],1,1629192973
0,樱桃丸丸子--,女,697249962,2,已经5分钟了，生产队的驴都不敢这么休息[脱单doge],1,1629192967
0,湃托了小翔哥,保密,452531321,4,4:40 妙[doge],1,1629192961
0,陆伯奕奕子,保密,184658954,5,你不是在荒岛吗[doge][doge][doge],1,1629192955
0,筱筱沐瑶,女,525852124,2,五分钟前，热乎的派派[doge],1,1629192954
0,螚殺,女,508521829,2,哇塞，我一个二级用户出息了，四分钟前[星星眼],1,1629192948
