,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,蜜雷冰城甜蜜蜜,男,129985401,5,刘洋画的收敛了[doge]，真人更拽,23,1628419897
0,Hildaヒユだ,保密,4083587,5,服气up就是画了想画的人 用自己的画风自己的审美和方式评论人均梵高莫奈毕加索？宁不喜欢这种画风 “觉得人长得都一样 没特色 觉得敷衍” 直接出门左转不看不就完了 何必张口闭口戾气十足？现在发发自己的爱好还需要被高标准严要求吗还真把自己当成给了天价票钱的观众老爷了,2,1628606994
0,疯子你好傻,保密,280677094,3,女子4*200的名字有的好像不对，应该有换人,2,1628566906
0,在烦恼什么呀,保密,640597890,3,真的千篇一律，不懂那些人在阴阳怪气什么？短时间赶出来就可以盖过千篇一律的缺点？既然知道千篇一律为什么不在多完善完善？真心热爱也好，单纯蹭热度也罢，两者皆有也行，利用奥运冠军来吸引流量，画得像一点点不是基本要求？点赞是权利，点踩不是？赞美是权利，批评不是？言论自由合着是合自己眼球的言论才属于言论自由里的言论？[捂脸][捂脸][捂脸],2,1628518325
0,十二点熬夜,保密,603317106,4,应有肖若腾,2,1628567109
0,帅气的暴龙战士,保密,504474241,4,up画的多棒啊，基本功扎实画面又很流畅，我也是学画画的，看这个视频就觉得很舒服，看评论大家为什么有这么多意见呢，不喜欢退出不就好了吗，up也没欠谁的，有建议可以没必要指指点点吧,2,1628558516
0,难上加南嗷嗷,保密,436925558,4,首先我想表明是…他会画画 他追求的只是好看 而不是人物形象 如果他认真了 不可能连看都没看完 也不可能说画的不像之类的,2,1628577914
0,剑心79,保密,362441565,3,画的不像,2,1628575886
0,顾首寻梦只有馨,保密,200503082,3,我最不喜欢看的项目就是中国队的跳水，一点水花都没[doge],4,1628438678
0,是奕欢,女,519918366,3,天呐，看我发现了什么[热词系列_神仙UP]（小小硬币里有着大大佩服）（中国运动员们都是最棒的！！）,2,1628594303
0,-大馒头-,男,33108751,5,虽然是金牌群像，但是好想让up加个苏炳添上去!,2,1628521435
0,懵逼尤死凹凸曼,男,516254396,3,没苏神差评,2,1628575361
0,戚云丷,保密,13910910,5,虽然但是，最好不要用红笔写别人名字吧[笑哭][笑哭],2,1628530507
0,华灯雪夜,男,475545037,4,有点失望。我在努力的向他们的模样上想，可是怎么也想不起来。到马龙时实在看不下去了…,2,1628518509
0,苏合香1018,保密,8353129,6,很多都认不出来是谁,2,1628571385
0,别删了别删了,保密,276300393,5,评论里某些人是没学过如何尊重别人吗…提建议就提建议嘴巴那么臭干嘛,2,1628533670
0,赏金猎人李查德,保密,284571941,5,一张脸画遍奥运冠军？[辣眼睛],2,1628536954
0,大玺叽,保密,444311103,4,关于红笔写名字的问题：不同地区有着不同的说法，古代死去的人会用红笔写名字，所以不少地区认为这是一种不吉利的做法，也有地区认为红笔写名字会带来好运建议大家不要封建迷信，大清已经亡了，这里up只是为了标注人物更显眼，不要因此而争吵谢谢[热词系列_你币有了][热词系列_吹爆][热词系列_三连],2,1628609560
0,有电科学,女,597048198,3,画得不错，建议给所有运动员都来一张大合影,2,1628512819
